Date,Open,High,Low,Close,Volume
10/20/2023,"23.07","23.40","22.68","22.80","79,158"
10/19/2023,"23.56","23.70","22.90","23.01","140,128"
10/18/2023,"24.48","24.48","23.37","23.58","104,400"
10/17/2023,"24.58","25.13","24.50","24.68","92,090"
10/16/2023,"24.63","24.80","24.35","24.56","115,083"
10/13/2023,"25.00","25.04","24.17","24.37","118,086"
10/12/2023,"25.77","25.77","24.33","24.85","85,179"
10/11/2023,"25.32","26.02","24.96","25.83","106,946"
10/10/2023,"25.61","26.10","25.03","25.16","85,928"
10/09/2023,"25.19","25.62","25.19","25.41","66,030"
10/06/2023,"24.70","25.68","24.38","25.36","115,469"
10/05/2023,"25.13","25.44","24.63","24.74","119,476"
10/04/2023,"24.47","25.26","24.32","25.20","139,491"
10/03/2023,"27.59","27.59","23.80","23.94","386,004"
10/02/2023,"28.12","28.85","27.77","27.83","73,051"
09/29/2023,"28.86","28.86","28.16","28.25","102,849"
09/28/2023,"28.97","29.14","28.64","28.71","87,329"
09/27/2023,"29.46","29.89","28.70","29.19","94,480"
09/26/2023,"29.49","30.00","29.12","29.18","83,118"
09/25/2023,"30.00","30.35","29.44","29.54","100,818"
09/22/2023,"30.83","30.86","30.09","30.13","102,583"
09/21/2023,"31.13","31.42","30.75","30.85","115,704"
09/20/2023,"31.14","31.71","30.73","31.35","68,194"
